event_id,user_id,event_type,event_date,revenue
1,539,view_product,2024-02-19,0.0
2,1601,login,2023-02-14,71.23
3,181,login,2024-02-18,0.0
4,1185,view_product,2023-07-30,0.0
5,404,login,2023-12-04,0.0
6,94,login,2023-09-23,0.0
7,433,login,2023-02-12,0.0
8,1410,view_product,2024-04-07,0.0
9,1315,add_to_cart,2023-12-24,0.0
10,1156,view_product,2023-06-26,0.0
11,747,view_product,2023-07-03,0.0
12,558,view_product,2023-02-17,0.0
13,984,view_product,2023-02-07,0.0
14,336,view_product,2023-08-01,12.86
15,134,login,2023-06-08,0.0
16,300,login,2023-08-02,0.0
17,1526,view_product,2024-02-13,0.0
18,942,login,2023-06-16,0.0
19,694,add_to_cart,2023-12-10,0.0
20,1650,login,2023-08-19,0.0
21,1576,login,2023-06-26,0.0
22,925,login,2023-12-09,0.0
23,161,purchase,2023-08-17,0.0
24,507,view_product,2023-11-04,0.0
25,943,view_product,2023-05-14,0.0
26,461,view_product,2023-09-12,0.0
27,1294,view_product,2024-01-13,0.0
28,1257,login,2024-02-19,0.0
29,1987,view_product,2023-10-14,0.0
30,1469,view_product,2023-11-14,0.0
31,1396,login,2023-07-06,212.59
32,753,add_to_cart,2023-06-12,468.37
33,1503,view_product,2023-10-30,0.0
34,590,login,2023-04-03,0.0
35,1005,login,2023-09-25,0.0
36,1766,login,2024-04-03,0.0
37,846,view_product,2023-02-22,0.0
38,1027,login,2023-12-21,0.0
39,1003,view_product,2023-12-10,0.0
40,1655,login,2023-05-23,0.0
41,1720,login,2023-11-14,0.0
42,1528,login,2023-06-02,0.0
43,985,view_product,2023-08-05,0.0
44,1650,view_product,2023-10-01,0.0
45,1213,login,2024-03-19,0.0
46,1661,login,2024-04-24,0.0
47,894,view_product,2023-11-19,0.0
48,412,login,2023-09-28,0.0
49,1678,login,2023-07-14,0.0
50,1694,add_to_cart,2023-04-29,0.0
51,1368,login,2023-05-19,0.0
52,1877,login,2024-02-26,0.0
53,118,view_product,2023-09-02,0.0
54,257,login,2024-03-26,0.0
55,1533,view_product,2023-10-20,0.0
56,1399,view_product,2023-10-07,0.0
57,1645,view_product,2023-12-04,0.0
58,89,login,2023-10-15,377.05
59,1949,view_product,2024-03-03,0.0
60,947,view_product,2023-12-11,0.0
61,1932,purchase,2023-11-14,0.0
62,1420,view_product,2023-07-12,0.0
63,1996,view_product,2024-03-11,0.0
64,1837,login,2024-03-19,375.45
65,1461,login,2023-04-17,0.0
66,470,view_product,2023-09-04,0.0
67,1837,add_to_cart,2024-03-05,0.0
68,64,view_product,2023-02-01,0.0
69,1668,purchase,2023-10-13,0.0
70,910,login,2023-04-28,0.0
71,177,view_product,2023-04-12,0.0
72,656,view_product,2023-07-25,0.0
73,1683,view_product,2023-10-28,0.0
74,1510,login,2023-05-19,0.0
75,1326,view_product,2023-02-22,0.0
76,857,view_product,2023-12-23,0.0
77,1169,view_product,2023-12-20,0.0
78,1895,purchase,2023-11-22,0.0
79,1146,view_product,2023-07-18,0.0
80,1372,login,2023-03-27,0.0
81,1499,view_product,2023-11-27,0.0
82,1132,login,2023-11-13,0.0
83,1972,purchase,2023-11-03,0.0
84,232,view_product,2024-04-20,0.0
85,206,view_product,2024-01-26,0.0
86,1463,add_to_cart,2024-02-24,0.0
87,217,login,2023-10-08,0.0
88,450,view_product,2024-02-28,0.0
89,708,add_to_cart,2023-12-10,0.0
90,1179,view_product,2024-03-08,0.0
91,575,login,2024-03-05,0.0
92,1516,login,2023-11-27,0.0
93,1229,login,2023-07-08,0.0
94,896,purchase,2024-03-07,164.32
95,1419,login,2023-09-19,0.0
96,959,login,2023-10-03,0.0
97,1114,purchase,2023-12-16,0.0
98,1219,login,2023-05-19,61.25
99,856,add_to_cart,2023-12-19,0.0
100,1615,login,2023-07-15,0.0
101,1901,login,2024-02-25,0.0
102,337,view_product,2023-08-13,0.0
103,1589,view_product,2023-09-27,0.0
104,161,login,2023-07-15,0.0
105,410,add_to_cart,2023-09-25,0.0
106,1800,login,2023-06-12,0.0
107,634,purchase,2023-10-02,0.0
108,367,login,2023-09-25,0.0
109,1798,view_product,2023-11-08,0.0
110,1929,view_product,2024-02-29,0.0
111,868,purchase,2023-08-19,0.0
112,139,login,2024-02-10,0.0
113,1198,login,2023-11-02,0.0
114,1989,view_product,2023-12-02,0.0
115,343,add_to_cart,2023-07-02,0.0
116,133,login,2023-04-27,0.0
117,895,view_product,2023-12-12,0.0
118,478,login,2023-09-16,0.0
119,169,view_product,2023-12-30,0.0
120,1676,login,2023-08-07,0.0
121,1308,add_to_cart,2023-09-23,0.0
122,724,view_product,2023-11-18,0.0
123,1614,purchase,2023-08-25,191.67
124,1836,view_product,2023-11-27,0.0
125,1498,login,2024-02-14,0.0
126,835,login,2023-09-06,0.0
127,164,login,2023-10-08,0.0
128,331,add_to_cart,2023-09-16,196.31
129,1243,view_product,2024-05-24,0.0
130,929,login,2024-02-13,0.0
131,154,login,2024-02-02,0.0
132,557,add_to_cart,2024-03-31,0.0
133,1801,view_product,2023-12-13,200.02
134,1138,login,2023-03-26,0.0
135,59,add_to_cart,2023-10-19,0.0
136,566,view_product,2023-08-05,0.0
137,515,purchase,2023-11-28,0.0
138,541,view_product,2023-09-06,0.0
139,569,login,2023-11-11,0.0
140,1359,login,2023-09-23,0.0
141,8,purchase,2023-07-03,0.0
142,267,view_product,2023-05-12,0.0
143,604,view_product,2023-08-24,0.0
144,1187,login,2023-04-25,0.0
145,31,purchase,2023-06-04,0.0
146,953,view_product,2023-10-20,0.0
147,415,purchase,2023-06-04,0.0
148,1856,view_product,2023-07-18,0.0
149,415,login,2023-07-14,0.0
150,1265,login,2023-07-15,0.0
151,1306,login,2023-08-28,0.0
152,1442,login,2023-09-01,0.0
153,802,login,2023-11-10,0.0
154,1262,purchase,2023-12-31,0.0
155,1921,view_product,2023-09-06,0.0
156,1841,purchase,2023-04-20,0.0
157,1509,login,2024-02-06,457.87
158,653,login,2023-08-24,0.0
159,1027,login,2024-04-18,0.0
160,1985,login,2023-05-25,0.0
161,1010,add_to_cart,2023-07-04,0.0
162,12,login,2024-01-05,0.0
163,1886,login,2023-10-05,0.0
164,1543,view_product,2023-05-31,241.14
165,1392,view_product,2023-07-22,0.0
166,467,view_product,2024-04-28,0.0
167,1025,login,2023-11-19,0.0
168,1595,purchase,2024-03-03,0.0
169,1269,login,2023-07-16,0.0
170,1145,view_product,2023-02-01,0.0
171,458,view_product,2023-04-14,0.0
172,1401,view_product,2024-03-18,0.0
173,1779,login,2023-05-02,0.0
174,1975,purchase,2023-08-02,0.0
175,1357,login,2024-01-12,0.0
176,1234,login,2023-06-11,166.38
177,1773,view_product,2023-11-22,0.0
178,760,add_to_cart,2024-03-18,0.0
179,1027,purchase,2024-04-06,0.0
180,421,add_to_cart,2023-07-25,0.0
181,111,login,2023-09-22,0.0
182,1299,login,2023-05-06,0.0
183,1679,view_product,2023-09-01,0.0
184,1725,purchase,2023-12-01,0.0
185,69,view_product,2023-09-13,0.0
186,170,view_product,2023-10-24,0.0
187,293,login,2023-03-31,0.0
188,508,login,2023-12-15,0.0
189,1583,add_to_cart,2024-03-18,0.0
190,1736,login,2024-05-15,0.0
191,1680,view_product,2023-08-02,0.0
192,298,login,2024-01-08,0.0
193,1470,login,2023-11-10,0.0
194,1180,view_product,2023-02-01,0.0
195,86,login,2023-12-21,0.0
196,1626,login,2023-12-17,0.0
197,1023,view_product,2024-01-09,0.0
198,1140,login,2023-11-12,0.0
199,506,login,2024-03-27,0.0
200,887,login,2023-10-30,0.0
201,150,login,2023-04-28,0.0
202,213,login,2024-01-17,0.0
203,970,login,2023-04-04,0.0
204,470,view_product,2023-08-26,0.0
205,458,login,2023-04-05,0.0
206,573,login,2024-01-10,0.0
207,860,login,2023-08-22,0.0
208,1914,view_product,2023-11-05,0.0
209,853,login,2023-11-20,0.0
210,1329,purchase,2023-11-26,0.0
211,106,login,2023-08-13,0.0
212,113,view_product,2024-03-04,0.0
213,1704,view_product,2024-04-12,0.0
214,169,add_to_cart,2024-05-12,0.0
215,709,login,2024-02-16,0.0
216,263,login,2023-04-01,0.0
217,125,view_product,2023-10-23,0.0
218,1190,login,2023-03-25,0.0
219,1973,view_product,2023-10-22,0.0
220,1969,view_product,2023-10-28,0.0
221,329,login,2024-01-18,0.0
222,101,view_product,2023-04-09,0.0
223,696,view_product,2023-12-12,0.0
224,1263,view_product,2023-04-12,0.0
225,913,purchase,2023-09-08,0.0
226,1283,login,2023-04-02,0.0
227,1236,login,2023-09-22,0.0
228,873,login,2023-08-26,0.0
229,169,login,2024-03-09,0.0
230,1685,view_product,2023-07-08,0.0
231,1438,add_to_cart,2024-03-18,0.0
232,865,view_product,2023-10-27,0.0
233,1427,view_product,2023-03-08,0.0
234,44,view_product,2023-07-19,0.0
235,780,purchase,2023-06-16,0.0
236,1840,view_product,2023-10-31,0.0
237,1541,add_to_cart,2023-09-21,346.18
238,1531,add_to_cart,2024-03-16,0.0
239,191,view_product,2024-02-15,0.0
240,154,login,2023-11-06,75.67
241,1762,login,2024-05-03,0.0
242,841,login,2023-07-01,0.0
243,994,add_to_cart,2023-09-14,0.0
244,5,login,2023-06-26,0.0
